platform,imgyear,julday,reflfile,tcfile,cloudfile
TM,2008,114,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_114_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_114_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_114_cloudmask.bsq
TM,2008,146,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_146_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_146_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_146_cloudmask.bsq
TM,2008,194,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_194_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_194_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_194_cloudmask.bsq
TM,2008,210,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_210_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_210_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_210_cloudmask.bsq
TM,2008,242,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_242_archv.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_242_tc.bsq,M:\Bering_Glacier\063018\images\2008\LT5063018_2008_242_cloudmask.bsq
TM,2009,92,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_092_archv.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_092_tc.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_092_cloudmask.bsq
TM,2009,188,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_188_archv.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_188_tc.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_188_cloudmask.bsq
TM,2009,220,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_220_archv.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_220_tc.bsq,M:\Bering_Glacier\063018\images\2009\LE7063018_2009_220_cloudmask.bsq
TM,2009,132,M:\Bering_Glacier\063018\images\2009\LT5063018_2009_132_archv.bsq,M:\Bering_Glacier\063018\images\2009\LT5063018_2009_132_tc.bsq,M:\Bering_Glacier\063018\images\2009\LT5063018_2009_132_cloudmask.bsq
TM,2010,79,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_079_archv.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_079_tc.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_079_cloudmask.bsq
TM,2010,143,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_143_archv.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_143_tc.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_143_cloudmask.bsq
TM,2010,175,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_175_archv.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_175_tc.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_175_cloudmask.bsq
TM,2010,255,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_255_archv.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_255_tc.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_255_cloudmask.bsq
TM,2010,287,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_287_archv.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_287_tc.bsq,M:\Bering_Glacier\063018\images\2010\LE7063018_2010_287_cloudmask.bsq
TM,2010,263,M:\Bering_Glacier\063018\images\2010\LT5063018_2010_263_archv.bsq,M:\Bering_Glacier\063018\images\2010\LT5063018_2010_263_tc.bsq,M:\Bering_Glacier\063018\images\2010\LT5063018_2010_263_cloudmask.bsq
TM,2011,66,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_066_archv.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_066_tc.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_066_cloudmask.bsq
TM,2011,130,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_130_archv.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_130_tc.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_130_cloudmask.bsq
TM,2011,146,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_146_archv.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_146_tc.bsq,M:\Bering_Glacier\063018\images\2011\LE7063018_2011_146_cloudmask.bsq
TM,2011,58,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_058_archv.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_058_tc.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_058_cloudmask.bsq
TM,2011,106,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_106_archv.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_106_tc.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_106_cloudmask.bsq
TM,2011,202,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_202_archv.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_202_tc.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_202_cloudmask.bsq
TM,2011,266,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_266_archv.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_266_tc.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_266_cloudmask.bsq
TM,2011,282,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_282_archv.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_282_tc.bsq,M:\Bering_Glacier\063018\images\2011\LT5063018_2011_282_cloudmask.bsq
